locus;location;strand;ATG;end
all0001;Chr;comp;918;6413460
all0002;Chr;comp;1718;981
asl0003;Chr;comp;2805;2617
all0004;Chr;comp;4365;3418
all0005;Chr;comp;5974;4454
all0006;Chr;comp;6689;6138
all0007;Chr;comp;7249;6686
all0008;Chr;comp;7850;7359
asl0009;Chr;comp;8241;7996
all0010;Chr;comp;9079;8324
all0011;Chr;comp;9500;9132
all0012;Chr;comp;11329;10130
asr0013;Chr;direct;11560;11850
alr0014;Chr;direct;11847;12275
all0015;Chr;comp;13168;12728
all0016;Chr;comp;13521;13138
all0017;Chr;comp;14121;13600
alr0018;Chr;direct;14319;14714
alr0019;Chr;direct;14903;15274
alr0020;Chr;direct;15778;19176
alr0021;Chr;direct;19615;20100
alr0022;Chr;direct;20166;20654
asr0023;Chr;direct;20870;21076
alr0024;Chr;direct;21221;22039
all0025;Chr;comp;22584;22144
asl0026;Chr;comp;22944;22723
asl0027;Chr;comp;23263;23018
all0028;Chr;comp;23844;23449
alr0029;Chr;direct;24350;28033
alr0030;Chr;direct;28285;30057
alr0031;Chr;direct;30263;31741
all0032;Chr;comp;33290;31875
alr0033;Chr;direct;33548;34477
alr0034;Chr;direct;34486;35448
alr0035;Chr;direct;35433;36884
all0036;Chr;comp;38331;36976
all0037;Chr;comp;38981;38535
alr0038;Chr;direct;39857;40927
alr0039;Chr;direct;40951;41826
all0040;Chr;comp;43492;41960
all0041;Chr;comp;44498;43542
all0042;Chr;comp;45458;44511
asr0043;Chr;direct;46643;46852
alr0044;Chr;direct;46892;47278
alr0045;Chr;direct;47278;47736
asl0046;Chr;comp;48195;47902
all0047;Chr;comp;50065;48470
all0048;Chr;comp;50696;50091
all0049;Chr;comp;53319;51283
all0050;Chr;comp;54919;53882
alr0051;Chr;direct;55119;56282
alr0052;Chr;direct;56642;56965
alr0053;Chr;direct;57224;58309
alr0054;Chr;direct;58472;59791
alr0055;Chr;direct;60168;61811
alr0056;Chr;direct;61836;62198
asr0057;Chr;direct;62218;62385
alr0058;Chr;direct;62394;63419
all0059;Chr;comp;65738;63555
asl0060;Chr;comp;66843;66556
all0061;Chr;comp;67987;67154
asr0062;Chr;direct;68148;68354
alr0063;Chr;direct;68534;68935
asr0064;Chr;direct;69988;70224
all0065;Chr;comp;70951;70601
all0066;Chr;comp;71702;71103
all0067;Chr;comp;72281;71745
alr0068;Chr;direct;72595;73149
alr0069;Chr;direct;73290;74033
all0070;Chr;comp;74958;74146
all0071;Chr;comp;75794;75171
alr0072;Chr;direct;75965;76639
alr0073;Chr;direct;76760;77551
alr0074;Chr;direct;78171;79187
alr0075;Chr;direct;79339;80814
alr0076;Chr;direct;80974;81747
alr0077;Chr;direct;81759;82652
alr0078;Chr;direct;82725;83282
alr0079;Chr;direct;83290;84525
alr0080;Chr;direct;84908;85294
asr0081;Chr;direct;85949;86167
all0082;Chr;comp;87421;86231
alr0083;Chr;direct;87523;87936
alr0084;Chr;direct;87929;88306
all0085;Chr;comp;89073;88561
all0086;Chr;comp;90009;89188
all0087;Chr;comp;91148;90105
alr0088;Chr;direct;91483;91842
all0089;Chr;comp;92568;91903
asl0090;Chr;comp;92744;92574
alr0091;Chr;direct;93059;94516
alr0092;Chr;direct;95168;97051
alr0093;Chr;direct;97350;99233
alr0094;Chr;direct;99384;100262
asl0095;Chr;comp;100699;100490
alr0096;Chr;direct;101711;102682
asl0097;Chr;comp;102933;102778
asr0098;Chr;direct;103430;103594
alr0099;Chr;direct;103683;104663
asr0100;Chr;direct;104656;104832
alr0101;Chr;direct;104851;105627
asr0102;Chr;direct;105748;105906
alr0103;Chr;direct;105949;108288
asr0104;Chr;direct;108324;108476
asr0105;Chr;direct;108919;109185
alr0106;Chr;direct;109372;109971
all0107;Chr;comp;110719;110201
asl0108;Chr;comp;111139;110990
all0109;Chr;comp;111671;111177
alr0110;Chr;direct;111955;112995
all0111;Chr;comp;113975;113061
all0112;Chr;comp;114845;114126
alr0113;Chr;direct;115235;115786
alr0114;Chr;direct;116589;117413
alr0115;Chr;direct;117428;118342
alr0116;Chr;direct;118415;118999
alr0117;Chr;direct;119269;120186
all0118;Chr;comp;120619;120149
all0119;Chr;comp;121138;120725
all0120;Chr;comp;122154;121177
all0121;Chr;comp;123575;122151
all0122;Chr;comp;124725;123742
all0123;Chr;comp;125464;124838
alr0124;Chr;direct;125676;129035
asl0125;Chr;comp;129330;129040
all0126;Chr;comp;130606;129590
all0127;Chr;comp;131223;130711
alr0128;Chr;direct;131490;132710
all0129;Chr;comp;133777;133034
alr0130;Chr;direct;133934;134995
all0131;Chr;comp;135904;135284
alr0132;Chr;direct;136623;137957
all0133;Chr;comp;138623;138036
all0134;Chr;comp;139271;138690
all0135;Chr;comp;140086;139352
all0136;Chr;comp;141219;140188
asl0137;Chr;comp;141653;141546
all0138;Chr;comp;143280;141751
all0139;Chr;comp;144027;143704
alr0140;Chr;direct;144629;146287
alr0141;Chr;direct;146423;147448
alr0142;Chr;direct;147532;148440
all0143;Chr;comp;149681;148503
all0144;Chr;comp;150776;149871
alr0145;Chr;direct;151210;151659
asl0146;Chr;comp;152014;151736
all0147;Chr;comp;152434;152042
asr0148;Chr;direct;152869;153114
alr0149;Chr;direct;153111;153497
alr0150;Chr;direct;153551;154639
asl0151;Chr;comp;155040;154744
all0152;Chr;comp;156259;155135
alr0153;Chr;direct;156575;158188
all0154;Chr;comp;159779;158589
all0155;Chr;comp;160524;159979
all0156;Chr;comp;161581;161060
all0157;Chr;comp;162349;161681
all0158;Chr;comp;163140;162352
alr0159;Chr;direct;163382;164575
all0160;Chr;comp;165712;164558
all0161;Chr;comp;166206;165871
alr0162;Chr;direct;166535;167335
asl0163;Chr;comp;167776;167600
all0164;Chr;comp;168349;167936
alr0165;Chr;direct;168634;171099
all0166;Chr;comp;172581;171094
all0167;Chr;comp;175426;172658
all0168;Chr;comp;177366;175504
alr0169;Chr;direct;177701;179629
all0170;Chr;comp;181122;180025
asl0171;Chr;comp;181595;181350
all0172;Chr;comp;181989;181582
all0173;Chr;comp;183116;182241
all0174;Chr;comp;184643;183300
alr0175;Chr;direct;185196;186017
asl0176;Chr;comp;186314;186051
all0177;Chr;comp;188296;186584
all0178;Chr;comp;190316;188577
asr0179;Chr;direct;190785;191030
alr0180;Chr;direct;191109;191891
alr0181;Chr;direct;191965;193395
all0182;Chr;comp;195522;193375
asr0183;Chr;direct;195669;195833
all0184;Chr;comp;197625;196342
all0185;Chr;comp;200283;198619
all0186;Chr;comp;200818;200312
all0187;Chr;comp;202406;200895
alr0188;Chr;direct;202511;203587
alr0189;Chr;direct;203773;205416
alr0190;Chr;direct;205651;206619
alr0191;Chr;direct;206635;207423
all0192;Chr;comp;209211;207550
all0193;Chr;comp;210192;209314
alr0194;Chr;direct;210583;211164
all0195;Chr;comp;211605;211252
alr0196;Chr;direct;211897;213228
all0197;Chr;comp;214217;213384
alr0198;Chr;direct;214817;215383
alr0199;Chr;direct;215440;215973
all0200;Chr;comp;217403;216123
alr0201;Chr;direct;217665;218324
alr0202;Chr;direct;218697;219911
alr0203;Chr;direct;220171;220659
asl0204;Chr;comp;220963;220781
alr0205;Chr;direct;221033;223189
asl0206;Chr;comp;223405;223223
all0207;Chr;comp;225500;223902
alr0208;Chr;direct;225850;226401
all0209;Chr;comp;227584;226463
all0210;Chr;comp;228100;227660
all0211;Chr;comp;228512;228132
alr0212;Chr;direct;228735;229634
alr0213;Chr;direct;229783;230712
alr0214;Chr;direct;230843;231313
all0215;Chr;comp;231970;231332
all0216;Chr;comp;232526;232191
all0217;Chr;comp;233348;232629
all0218;Chr;comp;234180;233461
all0219;Chr;comp;236096;234339
all0220;Chr;comp;237142;236408
alr0221;Chr;direct;237409;237903
alr0222;Chr;direct;238171;239307
alr0223;Chr;direct;239773;240891
alr0224;Chr;direct;240980;241564
alr0225;Chr;direct;241665;242273
alr0226;Chr;direct;242311;242616
alr0227;Chr;direct;242623;243543
alr0228;Chr;direct;243866;244669
asr0229;Chr;direct;244854;245078
alr0230;Chr;direct;245146;246753
all0231;Chr;comp;247927;246770
all0232;Chr;comp;248812;248183
all0233;Chr;comp;250580;248988
alr0234;Chr;direct;250960;251685
alr0235;Chr;direct;252003;252833
alr0236;Chr;direct;252979;254037
alr0237;Chr;direct;254248;255723
alr0238;Chr;direct;255954;256979
alr0239;Chr;direct;257073;258065
alr0240;Chr;direct;258160;259038
alr0241;Chr;direct;259275;259913
alr0242;Chr;direct;260010;261047
asr0243;Chr;direct;261189;261482
all0244;Chr;comp;262065;261541
all0245;Chr;comp;263525;262434
alr0246;Chr;direct;263654;264274
alr0247;Chr;direct;264415;265329
alr0248;Chr;direct;265824;266480
alr0249;Chr;direct;266826;267788
all0250;Chr;comp;269517;268690
all0251;Chr;comp;270709;269879
alr0252;Chr;direct;271108;272997
all0253;Chr;comp;273639;273001
all0254;Chr;comp;274637;273942
alr0255;Chr;direct;275105;276580
asl0256;Chr;comp;276831;276724
asr0257;Chr;direct;276959;277162
all0258;Chr;comp;277816;277397
all0259;Chr;comp;278779;278288
asl0260;Chr;comp;278927;278772
all0261;Chr;comp;279954;279124
all0262;Chr;comp;280837;280064
all0263;Chr;comp;282195;280987
alr0264;Chr;direct;283152;283607
all0265;Chr;comp;284212;283652
all0266;Chr;comp;285639;284329
alr0267;Chr;direct;286425;287651
all0268;Chr;comp;288592;287825
all0269;Chr;comp;289150;288596
all0270;Chr;comp;289846;289391
all0271;Chr;comp;290540;289986
asl0272;Chr;comp;290715;290560
all0273;Chr;comp;291733;290855
all0274;Chr;comp;294747;292267
all0275;Chr;comp;298141;295058
alr0276;Chr;direct;298527;305573
alr0277;Chr;direct;306021;306806
all0278;Chr;comp;308904;306868
alr0279;Chr;direct;309012;309596
alr0280;Chr;direct;309610;310296
asl0281;Chr;comp;310635;310525
all0282;Chr;comp;311120;310632
all0283;Chr;comp;316400;311157
all0284;Chr;comp;321618;316483
all0285;Chr;comp;322937;322617
alr0286;Chr;direct;323296;323748
all0287;Chr;comp;324665;323835
alr0288;Chr;direct;324735;325403
alr0289;Chr;direct;325649;326836
alr0290;Chr;direct;327539;329509
all0291;Chr;comp;330179;329715
all0292;Chr;comp;330925;330326
all0293;Chr;comp;335105;331110
asl0294;Chr;comp;335355;335200
alr0295;Chr;direct;335849;336547
alr0296;Chr;direct;336560;337333
alr0297;Chr;direct;337402;338556
all0298;Chr;comp;339041;338667
alr0299;Chr;direct;339569;340735
alr0300;Chr;direct;340821;341831
alr0301;Chr;direct;341995;343242
alr0302;Chr;direct;343736;344464
alr0303;Chr;direct;344599;344943
alr0304;Chr;direct;344951;347893
asl0305;Chr;comp;348436;348224
all0306;Chr;comp;349540;348578
all0307;Chr;comp;350298;349954
alr0308;Chr;direct;350779;354315
alr0309;Chr;direct;354517;355569
asl0310;Chr;comp;355829;355653
all0311;Chr;comp;356197;355826
alr0312;Chr;direct;356416;358179
all0313;Chr;comp;358614;358282
all0314;Chr;comp;359107;358805
all0315;Chr;comp;360015;359608
all0316;Chr;comp;361067;360180
alr0317;Chr;direct;361220;361531
alr0318;Chr;direct;361620;361973
asl0319;Chr;comp;362314;362048
all0320;Chr;comp;363260;362385
all0321;Chr;comp;364116;363247
all0322;Chr;comp;365480;364335
all0323;Chr;comp;371277;365851
all0324;Chr;comp;373027;371684
all0325;Chr;comp;373772;373038
all0326;Chr;comp;374501;373827
all0327;Chr;comp;375761;374982
all0328;Chr;comp;377473;375959
all0329;Chr;comp;378041;377622
all0330;Chr;comp;380198;378186
alr0331;Chr;direct;381135;383420
all0332;Chr;comp;383883;383515
all0333;Chr;comp;384757;384407
all0334;Chr;comp;385315;384998
alr0335;Chr;direct;385671;387518
alr0336;Chr;direct;387675;388145
all0337;Chr;comp;388561;388196
